PropertyName,YearBuilt,ConstructionStatus,UnitCount,MarketName,SubmarketName,Latitude,Longitude
Destination Arista,2023,Existing,325,"Denver, CO",Broomfield County,39.905476,-105.095338
Pop Denver,2023,Existing,123,"Denver, CO",Downtown Denver,39.726482,-104.998922
Crossing Pointe South Apartments,2023,Existing,142,"Denver, CO",Northeast Adams County,39.883832,-104.938741
NOVEL White Fence Farm,2023,Existing,202,"Denver, CO",Lakewood/West Corridor,39.682778,-105.065940
Millennium Green Valley Ranch,2023,Existing,312,"Denver, CO",East Denver,39.786436,-104.783050
Emblem Gateway,2023,Existing,240,"Denver, CO",East Denver,39.806459,-104.763514
Vida @ Fitzsimons,2023,Existing,355,"Denver, CO",Aurora,39.735638,-104.848228
Mercer at Union Station,2023,Existing,232,"Denver, CO",Downtown Denver,39.757569,-105.000325
GW,2023,Existing,86,"Denver, CO",Lakewood/West Corridor,39.735366,-105.185752
Arden Englewood,2024,Existing,302,"Denver, CO",Englewood/Littleton,39.651133,-104.999895
Elevon,2024,Existing,301,"Denver, CO",East Denver,39.767853,-104.891499
The Lincoln,2024,Existing,425,"Denver, CO",Highlands Ranch-Lone Tree,39.543631,-104.870739
The Finley at Baseline,2024,Existing,142,"Denver, CO",Broomfield County,39.995180,-105.006863
Ralston Gardens,2024,Existing,102,"Denver, CO",North Jefferson County,39.801231,-105.100984
Fellow at Fitzsimons,2024,Existing,413,"Denver, CO",Aurora,39.739604,-104.842820
Northfield Flats,2024,Existing,129,"Denver, CO",East Denver,39.779283,-104.887126
Modera Golden Triangle,2024,Existing,323,"Denver, CO",Downtown Denver,39.733313,-104.990861
Kenyon,2024,Existing,124,"Denver, CO",Downtown Denver,39.743472,-104.977775
Noble,2024,Existing,119,"Denver, CO",Englewood/Littleton,39.653339,-104.972114
Edmond,2024,Existing,185,"Denver, CO",Downtown Denver,39.755611,-104.985188
Vance Street Flats,2024,Existing,50,"Denver, CO",North Jefferson County,39.802633,-105.078939
Outlook Table Mesa,2024,Existing,250,"Denver, CO",Lakewood/West Corridor,39.769957,-105.151033
Enso Zen,2024,Existing,111,"Denver, CO",West Denver,39.792088,-105.024579
Creekside,2024,Existing,141,"Denver, CO",Aurora,39.737923,-104.815336
The Rowhomes,2024,Existing,68,"Denver, CO",Northeast Adams County,39.812361,-104.923759
Grant Row Lofts,2024,Existing,222,"Denver, CO",Northwest Adams County,39.954437,-104.982356
Skyline at Highlands,2024,Existing,533,"Denver, CO",West Denver,39.755040,-105.018941
The Lock at Flatirons,2024,Existing,254,"Denver, CO",Broomfield County,39.925646,-105.129085
Avalon Westminster Promenade,2024,Existing,312,"Denver, CO",North Jefferson County,39.889808,-105.068577
One River North,2024,Existing,187,"Denver, CO",Downtown Denver,39.771990,-104.970871
Alloy Sunnyside,2024,Existing,209,"Denver, CO",West Denver,39.773796,-104.999032
Edera,2024,Existing,287,"Denver, CO",Glendale University Area,39.677935,-104.910501
Springs at Peña Station,2024,Existing,272,"Denver, CO",East Denver,39.811956,-104.778823
Marlon at Central Park,2024,Existing,286,"Denver, CO",East Denver,39.780203,-104.887085
Bonsai Flats,2024,Existing,149,"Denver, CO",Englewood/Littleton,39.647864,-105.024810
Caroline at Ralston Creek,2024,Existing,328,"Denver, CO",North Jefferson County,39.802174,-105.108315
Nest56 at Denargo Market,2024,Existing,56,"Denver, CO",Downtown Denver,39.761759,-104.988583
Arden Karl’s Farm,2024,Existing,385,"Denver, CO",Northwest Adams County,39.915874,-104.964516
One Seven at Belleview Station,2024,Existing,250,"Denver, CO",DTC/Southeast Corridor,39.625931,-104.906632
Solana Beeler Park,2024,Existing,270,"Denver, CO",East Denver,39.799458,-104.880659
Railside at Wadsworth Station,2024,Existing,306,"Denver, CO",Lakewood/West Corridor,39.736323,-105.081012
Sorella,2024,Existing,374,"Denver, CO",West Denver,39.663352,-105.025653
Iota Fox Station,2024,Existing,148,"Denver, CO",Downtown Denver,39.772723,-104.993932
Prose Farm,2024,Existing,312,"Denver, CO",Northwest Adams County,39.888665,-104.957988
Kindred,2024,Existing,224,"Denver, CO",Downtown Denver,39.731761,-104.989801
Windsor 3000 Huron,2024,Existing,300,"Denver, CO",Downtown Denver,39.759603,-104.996747
The Deveraux,2024,Existing,374,"Denver, CO",Downtown Denver,39.765866,-104.987071
The Alder,2024,Existing,300,"Denver, CO",South Douglas County,39.553279,-104.819129
Kalaco Apartments,2024,Existing,280,"Denver, CO",Downtown Denver,39.739731,-105.000733
Prose Murphy Creek,2024,Existing,336,"Denver, CO",Aurora,39.683571,-104.714275
The Broadleaf,2024,Existing,370,"Denver, CO",Aurora,39.738799,-104.834068
Krisana Apartments,2024,Existing,151,"Denver, CO",Glendale University Area,39.692520,-104.938310
Renewal Village,2024,Existing,215,"Denver, CO",Downtown Denver,39.783069,-104.990910
The Northern,2024,Existing,336,"Denver, CO",Downtown Denver,39.761422,-104.989471
Eleven 8 Apartments,2024,Existing,97,"Denver, CO",Aurora,39.739845,-104.850233
The Pendant Southlands,2024,Existing,146,"Denver, CO",Outlying Arapahoe County,39.610951,-104.708393
Holly38,2024,Existing,253,"Denver, CO",East Denver,39.770349,-104.922250
Hanover RiNo,2024,Existing,390,"Denver, CO",Downtown Denver,39.764578,-104.985503
Amira Choice Arvada,2024,Existing,120,"Denver, CO",North Jefferson County,39.809034,-105.173810
Vine at Panorama,2024,Existing,104,"Denver, CO",Glendale University Area,39.672000,-104.871956
Sabine Apartments,2024,Existing,361,"Denver, CO",East Denver,39.788180,-104.773727
Overlook at Powers Park,2024,Existing,51,"Denver, CO",Englewood/Littleton,39.615306,-104.994413
Trails at Lehow Apartments,2024,Existing,82,"Denver, CO",Englewood/Littleton,39.621189,-104.991275
Greyhound Empowerment,2024,Existing,50,"Denver, CO",Northeast Adams County,39.809665,-104.924410
Mural Apartments,2024,Existing,216,"Denver, CO",South Adams County,39.742376,-104.820282
Morning Star Senior Living,2024,Existing,85,"Denver, CO",Englewood/Littleton,39.595754,-104.923503
The Meadowmark,2024,Existing,200,"Denver, CO",South Douglas County,39.418240,-104.896509
The Dryden,2024,Existing,420,"Denver, CO",Downtown Denver,39.734506,-104.989957
Flora,2024,Existing,92,"Denver, CO",Downtown Denver,39.771723,-104.979973
Prose at Painted Prairie,2024,Existing,312,"Denver, CO",South Adams County,39.800134,-104.737364
Canvas at Gateway,2024,Existing,166,"Denver, CO",East Denver,39.808379,-104.764447
Forge,2024,Existing,408,"Denver, CO",Downtown Denver,39.773775,-104.973433
Pine + Parker,2024,Existing,170,"Denver, CO",South Douglas County,39.542938,-104.773832
Solana Central Park,2024,Existing,307,"Denver, CO",East Denver,39.762386,-104.891373
Ayden Apartments,2024,Existing,117,"Denver, CO",West Denver,39.774858,-105.000230
Pascal Gardens,2024,Existing,216,"Denver, CO",West Denver,39.703603,-105.000962
Clara Brown Commons,2024,Existing,61,"Denver, CO",Downtown Denver,39.768374,-104.960028
Freshlo,2024,Existing,97,"Denver, CO",East Denver,39.781741,-104.845206
Canvas at Prairie Center,2024,Existing,192,"Denver, CO",Northeast Adams County,39.955285,-104.786622
Penrose,2024,Existing,182,"Denver, CO",Downtown Denver,39.770669,-104.977214
Ironworks on Fox,2024,Existing,386,"Denver, CO",Downtown Denver,39.774866,-104.995782
Keene at The District,2024,Existing,306,"Denver, CO",DTC/Southeast Corridor,39.574102,-104.877101
The Elmwood,2024,Existing,234,"Denver, CO",Broomfield County,39.924678,-105.118627
Patten Gray,2024,Existing,250,"Denver, CO",Downtown Denver,39.734884,-104.992639
Hensley at the District,2024,Existing,304,"Denver, CO",DTC/Southeast Corridor,39.575306,-104.880829
Nita Santa Fe,2024,Existing,200,"Denver, CO",Downtown Denver,39.733257,-104.998375
Pine Ridge Crossing,2024,Existing,80,"Denver, CO",Elbert County,39.354744,-104.608885
BB Living  at Trails Edge,2024,Existing,190,"Denver, CO",DTC/Southeast Corridor,39.567340,-104.810804
Karl’s Farm Apartments,2024,Existing,164,"Denver, CO",Northwest Adams County,39.915682,-104.967409
Flats on the A,2024,Existing,374,"Denver, CO",South Adams County,39.771578,-104.782762
Braxton,2024,Existing,363,"Denver, CO",Lakewood/West Corridor,39.714281,-105.136828
Aura Arts District,2024,Existing,333,"Denver, CO",Downtown Denver,39.724741,-105.001969
Ascend at Pena Station,2024,Existing,180,"Denver, CO",East Denver,39.807707,-104.770884
Avalon Governor's Park,2024,Existing,304,"Denver, CO",Downtown Denver,39.726947,-104.984597
The Riv,2024,Existing,196,"Denver, CO",Downtown Denver,39.768612,-104.972908
The Russell,2024,Existing,252,"Denver, CO",North Jefferson County,39.799306,-105.077730
Ozzie,2025,Proposed,83,"Denver, CO",West Denver,39.740063,-105.041366
The Emerson,2025,Under Construction,240,"Denver, CO",Englewood/Littleton,39.654538,-104.976658
All Saints Apartments,2025,Existing,63,"Denver, CO",West Denver,39.671523,-105.025391
Bel-Aire,2025,Under Construction,354,"Denver, CO",Lakewood/West Corridor,39.740848,-105.120645
Frameline,2025,Under Construction,78,"Denver, CO",East Denver,39.734490,-104.937767
Treeline,2025,Under Construction,68,"Denver, CO",West Denver,39.744564,-105.026482
Alexan Pena Station,2025,Under Construction,578,"Denver, CO",East Denver,39.811836,-104.767422
Junction72,2025,Existing,92,"Denver, CO",Northeast Adams County,39.824729,-104.940751
The Juniper on Mainstreet,2025,Under Construction,264,"Denver, CO",South Douglas County,39.516079,-104.759042
Reserve at Lone Tree,2025,Under Construction,125,"Denver, CO",South Douglas County,39.521103,-104.864379
Bridgewater Living,2025,Under Construction,142,"Denver, CO",South Douglas County,39.421611,-104.869265
The View at Castle Rock,2025,Under Construction,221,"Denver, CO",South Douglas County,39.376632,-104.860888
DHA Joli,2025,Under Construction,123,"Denver, CO",West Denver,39.732464,-105.018860
Tempo Nine Mile,2025,Existing,255,"Denver, CO",Aurora,39.660092,-104.846679
Akin Tennyson,2025,Existing,84,"Denver, CO",West Denver,39.779916,-105.043661
5810 Miller St,2025,Proposed,64,"Denver, CO",North Jefferson County,39.802221,-105.113484
Cadence Broomfield,2025,Under Construction,165,"Denver, CO",Broomfield County,39.916066,-105.042228
Alta Piney Creek,2025,Existing,186,"Denver, CO",Aurora,39.582961,-104.717608
1091 S Parker Rd,2025,Proposed,220,"Denver, CO",East Denver,39.696258,-104.899324
Highland Trails,2025,Under Construction,88,"Denver, CO",South Jefferson County,39.610952,-105.146384
Stables,2025,Final Planning,85,"Denver, CO",Aurora,39.703026,-104.861904
3500 Park Ave W,2025,Proposed,60,"Denver, CO",Downtown Denver,39.766461,-104.994239
Sapling Grove Apartments,2025,Existing,81,"Denver, CO",Aurora,39.682613,-104.869988
Ruby Vista,2025,Under Construction,98,"Denver, CO",West Denver,39.681886,-105.004472
Aspendale Northglenn,2025,Under Construction,172,"Denver, CO",Northwest Adams County,39.891595,-104.993705
Greyhound Park Flats,2025,Proposed,270,"Denver, CO",Northeast Adams County,39.810734,-104.928297
MAA Abiline,2025,Under Construction,259,"Denver, CO",Aurora,39.689929,-104.826596
THE RETREAT AT BRIGHTON RIDGE,2025,Proposed,264,"Denver, CO",Northeast Adams County,39.912573,-104.830718
1337 Alton St,2025,Under Construction,53,"Denver, CO",Aurora,39.737813,-104.882363
St Stephens Apartments,2025,Existing,50,"Denver, CO",East Denver,39.748820,-104.892559
Alexan 505,2025,Under Construction,353,"Denver, CO",Northwest Adams County,39.901307,-104.994243
Havenwood at Harmony,2025,Under Construction,56,"Denver, CO",Aurora,39.711999,-104.668235
Inkwell at Baseline,2025,Existing,238,"Denver, CO",Broomfield County,39.997038,-105.007115
The Gallery,2025,Under Construction,260,"Denver, CO",Aurora,39.575741,-104.732657
The Reserves at Eagle Point,2025,Under Construction,192,"Denver, CO",Aurora,39.706643,-104.733508
The Fillmore at Copperleaf,2025,Existing,229,"Denver, CO",Aurora,39.634600,-104.723861
The Parker at 9Mile Station,2025,Under Construction,331,"Denver, CO",Aurora,39.658751,-104.840002
Alta Mile High,2025,Under Construction,216,"Denver, CO",West Denver,39.739283,-105.020678
The Vixen,2025,Under Construction,344,"Denver, CO",Downtown Denver,39.739687,-104.972748
West Holden Place,2025,Under Construction,77,"Denver, CO",West Denver,39.735838,-105.020456
Ascend at Gateway,2025,Under Construction,279,"Denver, CO",East Denver,39.804472,-104.767353
Aspen Heights Lakewood,2025,Under Construction,352,"Denver, CO",Lakewood/West Corridor,39.735559,-105.081995
The Residences at Ralston Commons,2025,Under Construction,186,"Denver, CO",North Jefferson County,39.803086,-105.101532
Oslo on 6th,2025,Under Construction,150,"Denver, CO",Aurora,39.725116,-104.822422
The Reserve at Lone Tree,2025,Under Construction,209,"Denver, CO",South Douglas County,39.520433,-104.861422
Canyon View Apartments,2025,Under Construction,104,"Denver, CO",North Jefferson County,39.776310,-105.236136
Flatiron Flats,2025,Existing,296,"Denver, CO",Broomfield County,39.942504,-105.126731
Warren Village III,2025,Existing,113,"Denver, CO",West Denver,39.710503,-105.005041
South Federal Flats Apartments,2025,Existing,57,"Denver, CO",West Denver,39.666624,-105.024730
Ken Caryl Townhomes,2025,Final Planning,199,"Denver, CO",South Jefferson County,39.579172,-105.132778
700 N Lincoln St,2025,Deferred,304,"Denver, CO",Downtown Denver,39.727540,-104.985807
Ridian,2025,Existing,123,"Denver, CO",West Denver,39.762896,-105.024114
2000 Blake St,2025,Under Construction,70,"Denver, CO",Downtown Denver,39.754382,-104.993717
2061 Glenarm Pl,2025,Proposed,50,"Denver, CO",Downtown Denver,39.748311,-104.985190
280 S Yarrow St,2025,Proposed,150,"Denver, CO",Lakewood/West Corridor,39.711660,-105.083430
Rosewind,2025,Existing,209,"Denver, CO",East Denver,39.790334,-104.773322
Aspendale Centennial,2025,Under Construction,190,"Denver, CO",DTC/Southeast Corridor,39.594129,-104.826980
The Madison at Copperleaf,2025,Existing,330,"Denver, CO",Aurora,39.635453,-104.723923
Lennox at Copperleaf,2025,Under Construction,175,"Denver, CO",Aurora,39.637755,-104.728988
Araceli DTC,2025,Under Construction,236,"Denver, CO",DTC/Southeast Corridor,39.633278,-104.899586
3510 Brighton Blvd,2025,Under Construction,205,"Denver, CO",Downtown Denver,39.770313,-104.978317
RYE Central Park,2025,Existing,290,"Denver, CO",East Denver,39.759443,-104.889285
The Finch,2025,Under Construction,370,"Denver, CO",Downtown Denver,39.739736,-104.996191
OSO Apartments,2025,Existing,268,"Denver, CO",West Denver,39.681535,-104.988420
Sports Castle Lofts,2025,Under Construction,284,"Denver, CO",Downtown Denver,39.732732,-104.987047
The Avant,2025,Under Construction,337,"Denver, CO",DTC/Southeast Corridor,39.601766,-104.895884
Atlas Peakview,2025,Existing,330,"Denver, CO",DTC/Southeast Corridor,39.598492,-104.897974
Ara Townhomes and Flats,2025,Existing,85,"Denver, CO",South Douglas County,39.402147,-104.887088
The Artifact Townhomes,2025,Under Construction,128,"Denver, CO",Outlying Arapahoe County,39.610502,-104.703561
Sable Station,2025,Under Construction,154,"Denver, CO",Aurora,39.717016,-104.820177
The Irving at Mile High Vista,2025,Under Construction,102,"Denver, CO",West Denver,39.740001,-105.028962
Akin Golden Triangle,2025,Under Construction,98,"Denver, CO",Downtown Denver,39.731542,-104.990502
Legacy at Metro Apartments,2025,Under Construction,380,"Denver, CO",Aurora,39.706599,-104.818323
Modera University Park,2025,Under Construction,234,"Denver, CO",Glendale University Area,39.673798,-104.965003
NOVEL Uptown,2025,Existing,261,"Denver, CO",Downtown Denver,39.741138,-104.982694
Revival on Platte,2025,Existing,200,"Denver, CO",West Denver,39.739629,-105.018477
Olivean,2025,Existing,387,"Denver, CO",Broomfield County,39.907569,-105.088982
Wilder,2025,Existing,196,"Denver, CO",West Denver,39.740638,-105.029150
Velo Interlocken,2025,Under Construction,300,"Denver, CO",Broomfield County,39.915143,-105.099864
Viña Apartments - Phase II,2026,Proposed,150,"Denver, CO",Downtown Denver,39.784925,-104.961581
AMLI Golden Triangle,2026,Proposed,366,"Denver, CO",Downtown Denver,39.729920,-104.987886
Novel Flat Iron Crossing,2026,Final Planning,347,"Denver, CO",Broomfield County,39.931378,-105.136570
"Parkvale, a Prose Community",2026,Proposed,264,"Denver, CO",South Douglas County,39.481784,-105.050083
Wadsworth Junction,2026,Under Construction,227,"Denver, CO",Broomfield County,39.904675,-105.082534
The Hoyt,2026,Under Construction,80,"Denver, CO",West Denver,39.742147,-105.028078
1530 W 13th Ave,2026,Proposed,200,"Denver, CO",Downtown Denver,39.736124,-105.007411
Parq II,2026,Proposed,311,"Denver, CO",Downtown Denver,39.731726,-104.991256
4560 W Colfax Ave,2026,Deferred,68,"Denver, CO",West Denver,39.740077,-105.045995
Stok on Welton,2026,Proposed,114,"Denver, CO",Downtown Denver,39.756222,-104.976654
Cottages at Gateway,2026,Proposed,95,"Denver, CO",East Denver,39.810487,-104.768667
East Main,2026,Final Planning,284,"Denver, CO",South Douglas County,39.518556,-104.756384
2777 Zuni St,2026,Proposed,465,"Denver, CO",West Denver,39.757210,-105.016436
DriveTrain II,2026,Under Construction,230,"Denver, CO",Downtown Denver,39.769457,-104.981994
Spillway Promenade,2026,Proposed,260,"Denver, CO",South Douglas County,39.369593,-104.870351
2200 California St,2026,Proposed,300,"Denver, CO",Downtown Denver,39.750776,-104.984414
Marina Square Redevelopment,2026,Proposed,428,"Denver, CO",DTC/Southeast Corridor,39.625374,-104.893822
The Bellwether,2026,Under Construction,253,"Denver, CO",DTC/Southeast Corridor,39.629260,-104.898886
Fox Park,2026,Under Construction,298,"Denver, CO",Downtown Denver,39.779744,-104.995498
Grant Street Apartments,2026,Proposed,259,"Denver, CO",Downtown Denver,39.743897,-104.985523
299 Milwaukee St,2026,Under Construction,156,"Denver, CO",Downtown Denver,39.720415,-104.952647
Hanover Almada Station,2026,Proposed,359,"Denver, CO",Downtown Denver,39.710541,-104.993355
The River Mile Redevelopment,2026,Proposed,1000,"Denver, CO",Downtown Denver,39.749556,-105.010725
5700 Tower Rd,2026,Proposed,119,"Denver, CO",East Denver,39.800427,-104.770869
20th on Belford,2026,Proposed,192,"Denver, CO",South Douglas County,39.552621,-104.814597
1001 Lincoln St,2026,Proposed,209,"Denver, CO",Downtown Denver,39.732462,-104.986439
Vista Creek,2026,Proposed,311,"Denver, CO",Aurora,39.718711,-104.716785
Oxenfree at Commerce City,2026,Final Planning,269,"Denver, CO",Northeast Adams County,39.899113,-104.872116
Oxenfree at Clear Creek  Oxenfree at Clear,2026,Under Construction,116,"Denver, CO",Northeast Adams County,39.814665,-105.035939
Los Altos,2026,Under Construction,137,"Denver, CO",South Adams County,39.743303,-104.815245
Evans East,2026,Proposed,287,"Denver, CO",Downtown Denver,39.734985,-104.988442
Conejos Apartments,2026,Proposed,92,"Denver, CO",West Denver,39.741301,-105.032292
Overlook at Uplands,2026,Under Construction,247,"Denver, CO",Northwest Adams County,39.855538,-105.020357
3315 Walnut St,2026,Proposed,500,"Denver, CO",Downtown Denver,39.766202,-104.977744
4050 N Colorado Blvd,2026,Proposed,350,"Denver, CO",East Denver,39.775440,-104.939429
Banyan High Point,2026,Proposed,399,"Denver, CO",South Adams County,39.813626,-104.734448
Avilla Settler's Crossing,2026,Proposed,136,"Denver, CO",Northeast Adams County,39.870801,-104.772748
758 N Sherman St,2026,Proposed,193,"Denver, CO",Downtown Denver,39.728301,-104.984571
2801 Firth Ct,2026,Proposed,189,"Denver, CO",West Denver,39.757770,-105.017816
Link 56,2026,Proposed,214,"Denver, CO",East Denver,39.799550,-104.773964
Modera Cook Street,2026,Under Construction,110,"Denver, CO",Downtown Denver,39.719179,-104.947414
16 W Dry Creek Cir,2026,Proposed,173,"Denver, CO",Englewood/Littleton,39.582916,-104.992456
High Iron 40,2026,Proposed,700,"Denver, CO",Downtown Denver,39.774407,-104.955950
Fox North,2026,Proposed,250,"Denver, CO",Downtown Denver,39.776040,-104.995462
901 Navajo St,2026,Under Construction,190,"Denver, CO",Downtown Denver,39.730848,-105.004456
Modera Cook Street,2026,Under Construction,110,"Denver, CO",Downtown Denver,39.719176,-104.947770
Wynkoop Tower,2026,Proposed,140,"Denver, CO",Downtown Denver,39.772324,-104.975057
2750 W 10th Ave,2026,Proposed,464,"Denver, CO",West Denver,39.732884,-105.021234
Aura at Loretto Heights,2026,Under Construction,284,"Denver, CO",West Denver,39.661462,-105.026279
Kenect Denver MF,2026,Proposed,438,"Denver, CO",Downtown Denver,39.753551,-104.989553
The Addie at Metro Center,2026,Under Construction,222,"Denver, CO",Aurora,39.706438,-104.812991
Rowlen Apartments,2026,Under Construction,297,"Denver, CO",Broomfield County,40.002896,-105.001009
Stack at Wheat Ridge,2026,Final Planning,255,"Denver, CO",Lakewood/West Corridor,39.779343,-105.109000
Aviation Place,2027,Proposed,395,"Denver, CO",East Denver,39.810500,-104.782868
805 W 38th Ave,2027,Proposed,427,"Denver, CO",Downtown Denver,39.770302,-104.996441
Link Apartments Fitz,2027,Proposed,405,"Denver, CO",Aurora,39.739858,-104.848286
CK Development,2027,Proposed,886,"Denver, CO",Downtown Denver,39.751660,-104.985819
Kairoi Metro Center,2027,Under Construction,419,"Denver, CO",Aurora,39.709717,-104.817915
2000 Welton St,2027,Final Planning,94,"Denver, CO",Downtown Denver,39.748259,-104.985987
Cherry Lane,2027,Proposed,380,"Denver, CO",Downtown Denver,39.718514,-104.956984
Route 40,2027,Proposed,210,"Denver, CO",Downtown Denver,39.739795,-104.973258
Kaia Residences,2027,Under Construction,295,"Denver, CO",Downtown Denver,39.729335,-104.985657
1350-1372 Sheridan Blvd,2027,Proposed,128,"Denver, CO",West Denver,39.737620,-105.052836
Greyhound,2027,Proposed,479,"Denver, CO",Downtown Denver,39.750783,-104.991153
El Jebel Temple,2027,Proposed,120,"Denver, CO",Downtown Denver,39.744292,-104.984463
Westminster Station Apartments,2027,Proposed,145,"Denver, CO",Northeast Adams County,39.821463,-105.030218
Uplands,2027,Proposed,2350,"Denver, CO",Northwest Adams County,39.852265,-105.029724
Ballfield at Auraria,2027,Proposed,300,"Denver, CO",Downtown Denver,39.746304,-105.004205
Mountainview Apartments,2027,Proposed,300,"Denver, CO",Glendale University Area,39.680743,-104.941967
Chrysalis Apartments,2027,Proposed,70,"Denver, CO",Downtown Denver,39.744588,-104.968784
Harvest Hill,2027,Proposed,152,"Denver, CO",Broomfield County,39.910790,-105.084510
Denver 60,2027,Proposed,1175,"Denver, CO",East Denver,39.774206,-104.784197
Hurley Place,2027,Proposed,430,"Denver, CO",Downtown Denver,39.774005,-104.978300
4150 S Navajo St,2027,Under Construction,395,"Denver, CO",Englewood/Littleton,39.641376,-105.004137
2420 Alcott St,2027,Proposed,162,"Denver, CO",West Denver,39.752202,-105.017362
61st and Tower Apartments,2027,Proposed,353,"Denver, CO",East Denver,39.807935,-104.773343
4040 Fox Apartments,2027,Proposed,213,"Denver, CO",Downtown Denver,39.772456,-104.994534
219-255 Detroit St,2027,Proposed,85,"Denver, CO",Downtown Denver,39.720072,-104.954919
Camden Baker,2027,Proposed,435,"Denver, CO",Downtown Denver,39.715712,-104.999326
2099 Chestnut Pl,2027,Proposed,77,"Denver, CO",Downtown Denver,39.758188,-104.998487
650 17th St,2027,Proposed,342,"Denver, CO",Downtown Denver,39.745825,-104.990838
Gibson at The Grant,2028,Proposed,147,"Denver, CO",Downtown Denver,39.730905,-104.983990
Gates District at Broadway Station,2028,Proposed,360,"Denver, CO",Downtown Denver,39.698943,-104.988664
